y,p,r
1.5990,-0.7686,-0.0607
1.5992,-0.7596,-0.0696
1.5984,-0.7507,-0.0825
1.5969,-0.7419,-0.0999
1.5906,-0.7446,-0.1167
1.5803,-0.7537,-0.1303
1.5769,-0.7410,-0.1468
1.5871,-0.7147,-0.1738
1.6061,-0.7004,-0.2222
1.6256,-0.6794,-0.2879
1.6335,-0.6693,-0.3408
1.6368,-0.6869,-0.3662
1.6442,-0.7120,-0.3694
1.6395,-0.7213,-0.3566
1.6292,-0.7167,-0.3395
1.6269,-0.7154,-0.3324
1.6309,-0.7118,-0.3367
1.6361,-0.7076,-0.3462
1.6426,-0.7043,-0.3562
1.6523,-0.7020,-0.3651
1.6626,-0.7065,-0.3692
1.6727,-0.7269,-0.3693
1.6875,-0.7526,-0.3708
1.7104,-0.7823,-0.3739
1.7257,-0.8030,-0.3696
1.7265,-0.8187,-0.3526
1.7188,-0.8353,-0.3270
1.7054,-0.8579,-0.2957
1.6880,-0.8714,-0.2657
1.6775,-0.8734,-0.2449
1.6763,-0.8822,-0.2320
1.6815,-0.8961,-0.2256
1.6887,-0.9176,-0.2211
1.6951,-0.9558,-0.2148
1.7017,-1.0159,-0.2055
1.7081,-1.0983,-0.1934
1.7119,-1.1982,-0.1787
1.7129,-1.2968,-0.1643
1.7147,-1.3114,-0.1629
1.7169,-1.2733,-0.1688
1.7256,-1.2251,-0.1809
1.7438,-1.1769,-0.2013
1.7699,-1.1403,-0.2263
1.8034,-1.1130,-0.2557
1.8430,-1.0871,-0.2884
1.8862,-1.0603,-0.3228
1.9313,-1.0322,-0.3572
1.9763,-1.0038,-0.3905
2.0184,-0.9800,-0.4203
2.0547,-0.9591,-0.4444
2.0846,-0.9404,-0.4630
2.1083,-0.9230,-0.4762
2.1249,-0.9093,-0.4834
2.1350,-0.8986,-0.4846
2.1402,-0.8886,-0.4809
2.1427,-0.8788,-0.4736
2.1441,-0.8680,-0.4636
2.1452,-0.8568,-0.4518
2.1469,-0.8456,-0.4393
2.1489,-0.8348,-0.4270
2.1516,-0.8253,-0.4160
2.1556,-0.8166,-0.4073
2.1605,-0.8092,-0.4013
2.1671,-0.8027,-0.3981
2.1754,-0.7968,-0.3970
2.1853,-0.7914,-0.3977
2.1965,-0.7865,-0.4000
2.2082,-0.7822,-0.4039
2.2203,-0.7775,-0.4096
2.2325,-0.7721,-0.4170
2.2442,-0.7663,-0.4254
2.2551,-0.7600,-0.4341
2.2644,-0.7533,-0.4424
2.2727,-0.7466,-0.4499
2.2790,-0.7407,-0.4559
2.2837,-0.7351,-0.4602
2.2872,-0.7298,-0.4627
2.2897,-0.7249,-0.4639
2.2920,-0.7202,-0.4643
2.2939,-0.7157,-0.4645
2.2961,-0.7112,-0.4647
