y,p,r
2.0519,1.0259,0.4317
2.0585,1.0147,0.4361
2.0646,1.0043,0.4401
2.0698,0.9949,0.4433
2.0741,0.9862,0.4459
2.0780,0.9779,0.4482
2.0813,0.9702,0.4501
2.0845,0.9630,0.4521
2.0879,0.9562,0.4544
2.0912,0.9496,0.4568
2.0944,0.9436,0.4591
2.0977,0.9377,0.4615
2.1010,0.9320,0.4635
2.1043,0.9261,0.4654
2.1080,0.9197,0.4673
2.1118,0.9129,0.4693
2.1156,0.9054,0.4712
2.1191,0.8980,0.4730
2.1221,0.8909,0.4743
2.1244,0.8842,0.4753
2.1262,0.8782,0.4757
2.1276,0.8725,0.4758
2.1288,0.8671,0.4759
2.1303,0.8612,0.4761
2.1323,0.8548,0.4766
2.1347,0.8476,0.4774
2.1374,0.8399,0.4784
2.1401,0.8320,0.4791
2.1426,0.8246,0.4796
2.1444,0.8179,0.4796
2.1453,0.8124,0.4788
2.1455,0.8081,0.4773
2.1448,0.8048,0.4753
2.1435,0.8022,0.4731
2.1419,0.7999,0.4709
2.1402,0.7976,0.4689
2.1388,0.7952,0.4675
2.1375,0.7928,0.4664
2.1368,0.7905,0.4659
2.1368,0.7878,0.4659
2.1373,0.7849,0.4663
2.1382,0.7819,0.4666
2.1387,0.7792,0.4665
2.1388,0.7772,0.4661
2.1386,0.7756,0.4654
2.1380,0.7747,0.4645
2.1374,0.7743,0.4636
2.1371,0.7740,0.4630
2.1372,0.7734,0.4628
2.1377,0.7723,0.4628
2.1385,0.7707,0.4630
2.1394,0.7688,0.4634
2.1404,0.7661,0.4640
2.1411,0.7631,0.4646
2.1416,0.7601,0.4653
2.1421,0.7575,0.4658
2.1425,0.7554,0.4660
2.1429,0.7534,0.4658
2.1433,0.7517,0.4654
2.1437,0.7502,0.4645
2.1441,0.7491,0.4637
2.1445,0.7490,0.4630
2.1445,0.7497,0.4627
2.1441,0.7506,0.4625
2.1432,0.7522,0.4625
2.1418,0.7546,0.4620
2.1403,0.7574,0.4612
2.1389,0.7598,0.4600
2.1377,0.7617,0.4587
2.1371,0.7628,0.4578
2.1365,0.7635,0.4571
2.1359,0.7643,0.4567
2.1354,0.7650,0.4565
2.1345,0.7664,0.4560
2.1336,0.7681,0.4555
2.1327,0.7696,0.4548
2.1320,0.7709,0.4540
2.1316,0.7712,0.4534
2.1317,0.7707,0.4533
2.1318,0.7699,0.4534
2.1322,0.7690,0.4539
2.1326,0.7687,0.4546
2.1329,0.7686,0.4554
2.1332,0.7689,0.4563
2.1335,0.7693,0.4570
2.1337,0.7698,0.4574
2.1337,0.7705,0.4576
2.1338,0.7714,0.4576
2.1340,0.7724,0.4575
2.1346,0.7734,0.4575
2.1358,0.7739,0.4577
2.1373,0.7737,0.4579
2.1395,0.7721,0.4586
2.1416,0.7697,0.4594
2.1436,0.7672,0.4605
2.1446,0.7652,0.4613
2.1446,0.7646,0.4617
2.1437,0.7657,0.4616
2.1421,0.7682,0.4612
2.1408,0.7710,0.4605
2.1401,0.7731,0.4598
2.1402,0.7737,0.4594
2.1408,0.7726,0.4593
2.1413,0.7709,0.4592
2.1413,0.7698,0.4590
2.1404,0.7697,0.4586
2.1382,0.7713,0.4577
2.1350,0.7743,0.4563
2.1315,0.7783,0.4543
2.1277,0.7827,0.4519
2.1244,0.7867,0.4495
2.1222,0.7895,0.4474
2.1207,0.7908,0.4456
2.1202,0.7909,0.4440
2.1200,0.7906,0.4426
2.1196,0.7908,0.4410
2.1188,0.7914,0.4393
2.1173,0.7925,0.4371
2.1152,0.7947,0.4346
2.1128,0.7971,0.4318
2.1104,0.7994,0.4289
2.1084,0.8011,0.4262
2.1069,0.8025,0.4238
2.1059,0.8036,0.4216
2.1049,0.8046,0.4196
2.1040,0.8058,0.4174
2.1025,0.8076,0.4148
2.1005,0.8101,0.4117
2.0981,0.8134,0.4082
2.0952,0.8169,0.4044
2.0921,0.8206,0.4002
2.0890,0.8240,0.3958
2.0860,0.8271,0.3910
2.0832,0.8298,0.3860
2.0805,0.8322,0.3806
2.0781,0.8345,0.3752
2.0758,0.8369,0.3700
2.0736,0.8400,0.3651
2.0714,0.8436,0.3606
2.0686,0.8474,0.3559
2.0655,0.8512,0.3513
2.0619,0.8549,0.3463
2.0581,0.8583,0.3408
2.0541,0.8614,0.3351
2.0507,0.8639,0.3294
2.0479,0.8660,0.3238
2.0459,0.8676,0.3185
2.0448,0.8688,0.3136
2.0439,0.8698,0.3089
2.0431,0.8713,0.3044
2.0420,0.8735,0.3000
2.0403,0.8767,0.2953
2.0375,0.8804,0.2901
2.0339,0.8843,0.2843
2.0299,0.8878,0.2783
2.0259,0.8913,0.2721
2.0228,0.8941,0.2664
2.0207,0.8965,0.2612
2.0198,0.8980,0.2569
2.0201,0.8982,0.2529
2.0209,0.8979,0.2493
2.0220,0.8972,0.2459
2.0231,0.8966,0.2423
2.0238,0.8964,0.2388
2.0237,0.8970,0.2348
2.0229,0.8984,0.2306
2.0217,0.8999,0.2262
2.0205,0.9007,0.2218
2.0197,0.9005,0.2175
2.0197,0.8989,0.2135
2.0205,0.8967,0.2100
2.0218,0.8942,0.2069
2.0233,0.8916,0.2043
2.0246,0.8891,0.2018
2.0251,0.8873,0.1991
2.0248,0.8857,0.1961
2.0236,0.8828,0.1916
2.0219,0.8786,0.1857
2.0207,0.8745,0.1796
2.0202,0.8719,0.1742
2.0202,0.8711,0.1700
2.0211,0.8720,0.1673
2.0222,0.8738,0.1656
2.0232,0.8755,0.1645
2.0241,0.8761,0.1640
2.0251,0.8751,0.1642
2.0258,0.8728,0.1649
2.0261,0.8710,0.1662
2.0261,0.8698,0.1674
2.0260,0.8701,0.1683
2.0258,0.8718,0.1691
2.0258,0.8714,0.1686
2.0254,0.8686,0.1663
2.0242,0.8647,0.1619
2.0231,0.8620,0.1571
2.0224,0.8608,0.1527
2.0224,0.8587,0.1488
2.0219,0.8566,0.1443
2.0180,0.8621,0.1388
2.0122,0.8702,0.1325
2.0071,0.8752,0.1267
2.0026,0.8796,0.1212
1.9985,0.8836,0.1161
1.9952,0.8862,0.1115
1.9922,0.8876,0.1071
1.9893,0.8886,0.1029
1.9862,0.8905,0.0988
1.9823,0.8941,0.0944
1.9778,0.8990,0.0901
1.9735,0.9044,0.0864
1.9696,0.9096,0.0833
1.9661,0.9150,0.0807
1.9628,0.9207,0.0786
1.9598,0.9266,0.0767
1.9570,0.9312,0.0746
1.9540,0.9348,0.0720
1.9513,0.9370,0.0691
1.9484,0.9381,0.0654
1.9455,0.9387,0.0617
1.9431,0.9388,0.0581
1.9410,0.9384,0.0548
1.9393,0.9373,0.0520
1.9381,0.9357,0.0496
1.9372,0.9340,0.0478
1.9364,0.9323,0.0464
1.9355,0.9301,0.0452
1.9348,0.9276,0.0445
1.9344,0.9242,0.0443
1.9344,0.9205,0.0446
1.9341,0.9172,0.0454
1.9323,0.9168,0.0451
1.9282,0.9199,0.0425
1.9259,0.9205,0.0398
1.9258,0.9193,0.0385
1.9258,0.9187,0.0373
1.9252,0.9189,0.0360
1.9245,0.9189,0.0349
1.9236,0.9189,0.0336
1.9227,0.9187,0.0325
1.9215,0.9184,0.0312
1.9204,0.9180,0.0298
1.9194,0.9176,0.0285
1.9181,0.9173,0.0271
1.9170,0.9169,0.0257
1.9164,0.9164,0.0244
1.9157,0.9161,0.0235
1.9153,0.9158,0.0227
1.9147,0.9159,0.0222
1.9145,0.9160,0.0219
1.9140,0.9163,0.0218
1.9139,0.9161,0.0216
1.9135,0.9157,0.0214
1.9131,0.9153,0.0209
1.9125,0.9148,0.0203
1.9117,0.9145,0.0195
1.9111,0.9140,0.0187
1.9104,0.9134,0.0180
1.9098,0.9128,0.0172
1.9093,0.9125,0.0166
1.9087,0.9122,0.0160
1.9083,0.9117,0.0154
1.9077,0.9109,0.0145
1.9071,0.9100,0.0137
1.9065,0.9089,0.0130
1.9059,0.9078,0.0120
1.9053,0.9066,0.0112
1.9048,0.9051,0.0104
1.9043,0.9035,0.0094
1.9039,0.9021,0.0085
1.9036,0.9009,0.0074
1.9032,0.8996,0.0063
1.9030,0.8982,0.0049
1.9029,0.8971,0.0036
1.9028,0.8962,0.0025
1.9028,0.8959,0.0018
1.9029,0.8960,0.0015
1.9032,0.8962,0.0017
1.9035,0.8963,0.0020
1.9035,0.8965,0.0021
1.9034,0.8965,0.0020
1.9033,0.8966,0.0019
1.9031,0.8968,0.0017
1.9027,0.8970,0.0014
1.9025,0.8972,0.0011
1.9024,0.8972,0.0007
1.9022,0.8974,0.0004
1.9024,0.8978,0.0003
1.9024,0.8982,0.0001
1.9026,0.8985,0.0001
1.9027,0.8988,0.0000
1.9028,0.8992,-0.0000
1.9030,0.8997,0.0000
1.9031,0.9002,0.0001
1.9033,0.9008,0.0003
1.9036,0.9010,0.0004
1.9039,0.9010,0.0008
1.9044,0.9009,0.0013
1.9046,0.9009,0.0016
1.9048,0.9011,0.0019
1.9048,0.9014,0.0021
1.9051,0.9015,0.0024
1.9052,0.9016,0.0025
1.9053,0.9020,0.0027
1.9052,0.9023,0.0027
1.9053,0.9026,0.0029
1.9054,0.9029,0.0030
1.9056,0.9033,0.0031
1.9057,0.9034,0.0031
1.9060,0.9035,0.0031
1.9062,0.9037,0.0030
1.9064,0.9037,0.0030
1.9066,0.9038,0.0028
1.9069,0.9038,0.0026
1.9071,0.9038,0.0025
1.9074,0.9037,0.0024
1.9075,0.9037,0.0021
1.9079,0.9037,0.0020
1.9082,0.9036,0.0019
1.9086,0.9036,0.0017
1.9088,0.9035,0.0015
1.9092,0.9035,0.0014
1.9094,0.9036,0.0012
1.9096,0.9036,0.0011
1.9097,0.9037,0.0010
1.9099,0.9038,0.0010
1.9098,0.9038,0.0008
1.9097,0.9040,0.0009
1.9096,0.9041,0.0009
1.9095,0.9042,0.0010
1.9095,0.9044,0.0012
1.9095,0.9044,0.0013
1.9097,0.9044,0.0015
1.9098,0.9044,0.0017
1.9101,0.9043,0.0018
1.9102,0.9044,0.0020
1.9107,0.9042,0.0023
1.9109,0.9041,0.0027
1.9115,0.9041,0.0033
1.9120,0.9038,0.0038
1.9124,0.9037,0.0043
1.9129,0.9037,0.0048
1.9131,0.9038,0.0052
1.9133,0.9038,0.0055
1.9136,0.9039,0.0060
1.9137,0.9039,0.0061
1.9138,0.9041,0.0064
1.9139,0.9042,0.0064
1.9140,0.9044,0.0067
1.9140,0.9046,0.0068
1.9142,0.9048,0.0069
1.9142,0.9049,0.0069
1.9142,0.9050,0.0070
1.9143,0.9052,0.0070
1.9145,0.9053,0.0072
1.9146,0.9053,0.0075
1.9147,0.9054,0.0078
1.9145,0.9056,0.0080
1.9143,0.9058,0.0083
1.9144,0.9059,0.0086
1.9143,0.9060,0.0088
1.9144,0.9062,0.0090
1.9143,0.9063,0.0091
1.9144,0.9064,0.0091
1.9145,0.9065,0.0091
1.9147,0.9065,0.0092
1.9150,0.9064,0.0094
1.9154,0.9062,0.0095
1.9157,0.9062,0.0096
1.9160,0.9061,0.0098
1.9163,0.9060,0.0099
1.9168,0.9059,0.0101
1.9172,0.9057,0.0102
1.9177,0.9055,0.0104
1.9181,0.9054,0.0106
1.9186,0.9053,0.0108
1.9189,0.9052,0.0111
1.9192,0.9052,0.0112
1.9197,0.9052,0.0115
1.9201,0.9052,0.0118
1.9206,0.9052,0.0122
1.9210,0.9049,0.0124
1.9214,0.9049,0.0127
1.9219,0.9048,0.0130
1.9223,0.9048,0.0135
1.9228,0.9047,0.0138
1.9232,0.9047,0.0141
1.9235,0.9046,0.0144
1.9239,0.9045,0.0146
1.9241,0.9045,0.0148
1.9243,0.9044,0.0149
1.9246,0.9044,0.0150
1.9249,0.9044,0.0151
1.9252,0.9044,0.0153
1.9255,0.9043,0.0154
1.9258,0.9042,0.0155
1.9260,0.9041,0.0157
1.9263,0.9041,0.0158
1.9266,0.9041,0.0160
1.9269,0.9039,0.0161
1.9272,0.9039,0.0162
1.9276,0.9038,0.0164
1.9278,0.9038,0.0165
1.9282,0.9037,0.0167
1.9283,0.9037,0.0167
1.9286,0.9037,0.0169
1.9288,0.9038,0.0169
1.9289,0.9038,0.0170
1.9292,0.9038,0.0171
1.9292,0.9039,0.0171
1.9294,0.9039,0.0171
1.9295,0.9040,0.0171
1.9297,0.9041,0.0172
1.9300,0.9041,0.0173
1.9300,0.9041,0.0172
1.9303,0.9041,0.0173
1.9306,0.9040,0.0174
1.9308,0.9041,0.0174
1.9310,0.9041,0.0176
1.9313,0.9041,0.0176
1.9315,0.9042,0.0176
1.9316,0.9041,0.0176
1.9318,0.9042,0.0177
1.9318,0.9043,0.0177
1.9321,0.9044,0.0178
1.9322,0.9045,0.0178
1.9322,0.9046,0.0178
1.9324,0.9047,0.0178
1.9327,0.9047,0.0179
1.9328,0.9047,0.0180
1.9331,0.9047,0.0181
1.9333,0.9047,0.0183
1.9336,0.9045,0.0183
1.9338,0.9045,0.0184
1.9342,0.9044,0.0186
1.9343,0.9044,0.0188
1.9346,0.9044,0.0189
1.9350,0.9043,0.0191
1.9351,0.9042,0.0190
1.9351,0.9043,0.0191
1.9354,0.9044,0.0192
1.9354,0.9044,0.0192
1.9356,0.9044,0.0191
1.9358,0.9045,0.0192
1.9358,0.9046,0.0192
1.9359,0.9047,0.0192
1.9359,0.9049,0.0192
1.9359,0.9049,0.0192
1.9362,0.9050,0.0193
1.9363,0.9050,0.0193
1.9366,0.9050,0.0195
1.9369,0.9049,0.0195
1.9371,0.9047,0.0196
1.9374,0.9047,0.0198
1.9376,0.9046,0.0199
1.9379,0.9046,0.0200
1.9381,0.9045,0.0201
1.9382,0.9045,0.0202
1.9386,0.9044,0.0204
1.9388,0.9044,0.0204
1.9389,0.9044,0.0206
1.9389,0.9045,0.0205
1.9390,0.9046,0.0205
1.9390,0.9047,0.0205
1.9390,0.9048,0.0205
1.9390,0.9050,0.0203
1.9391,0.9052,0.0203
1.9390,0.9054,0.0202
1.9391,0.9054,0.0201
1.9392,0.9055,0.0202
1.9395,0.9055,0.0202
1.9398,0.9054,0.0204
1.9401,0.9054,0.0204
1.9405,0.9053,0.0205
1.9408,0.9052,0.0207
1.9412,0.9051,0.0209
1.9414,0.9049,0.0209
1.9418,0.9048,0.0211
1.9419,0.9047,0.0212
1.9423,0.9046,0.0213
1.9424,0.9046,0.0214
1.9425,0.9047,0.0213
1.9425,0.9048,0.0213
1.9426,0.9049,0.0213
1.9425,0.9051,0.0211
1.9424,0.9052,0.0211
1.9425,0.9053,0.0211
1.9424,0.9055,0.0209
1.9425,0.9056,0.0209
1.9427,0.9056,0.0209
1.9429,0.9056,0.0210
1.9431,0.9057,0.0210
1.9434,0.9056,0.0210
1.9438,0.9055,0.0212
1.9441,0.9053,0.0213
1.9444,0.9052,0.0213
1.9448,0.9051,0.0215
1.9451,0.9050,0.0217
1.9454,0.9049,0.0218
1.9458,0.9048,0.0220
1.9459,0.9047,0.0221
1.9460,0.9047,0.0221
1.9461,0.9047,0.0221
1.9462,0.9048,0.0221
1.9462,0.9049,0.0221
1.9461,0.9051,0.0219
1.9460,0.9052,0.0218
1.9459,0.9054,0.0216
1.9459,0.9056,0.0216
1.9458,0.9058,0.0215
1.9459,0.9059,0.0214
1.9461,0.9059,0.0214
1.9462,0.9060,0.0214
1.9467,0.9059,0.0214
1.9469,0.9058,0.0215
1.9474,0.9056,0.0216
1.9478,0.9055,0.0218
1.9483,0.9053,0.0221
1.9486,0.9052,0.0223
1.9490,0.9051,0.0224
1.9492,0.9049,0.0226
1.9494,0.9049,0.0226
1.9495,0.9048,0.0226
1.9496,0.9049,0.0225
1.9496,0.9050,0.0225
1.9494,0.9052,0.0224
1.9492,0.9054,0.0222
1.9490,0.9057,0.0220
1.9490,0.9059,0.0220
1.9488,0.9062,0.0218
1.9488,0.9063,0.0217
1.9489,0.9064,0.0217
1.9491,0.9063,0.0217
1.9496,0.9062,0.0220
1.9499,0.9061,0.0220
1.9505,0.9059,0.0223
1.9508,0.9057,0.0224
1.9514,0.9055,0.0227
1.9517,0.9053,0.0228
1.9521,0.9050,0.0230
1.9524,0.9050,0.0231
1.9528,0.9049,0.0233
1.9529,0.9049,0.0233
1.9531,0.9048,0.0233
1.9530,0.9050,0.0232
1.9531,0.9051,0.0231
1.9529,0.9053,0.0230
1.9526,0.9056,0.0227
1.9525,0.9059,0.0226
1.9525,0.9060,0.0224
1.9524,0.9062,0.0224
1.9524,0.9064,0.0222
1.9526,0.9066,0.0223
1.9529,0.9065,0.0223
1.9531,0.9065,0.0224
1.9536,0.9063,0.0224
1.9541,0.9062,0.0226
1.9544,0.9059,0.0227
1.9549,0.9057,0.0229
1.9553,0.9055,0.0230
1.9557,0.9054,0.0231
1.9560,0.9053,0.0232
1.9563,0.9053,0.0232
1.9564,0.9053,0.0232
1.9566,0.9054,0.0231
1.9566,0.9055,0.0230
1.9564,0.9057,0.0228
1.9561,0.9060,0.0225
1.9560,0.9063,0.0223
1.9558,0.9066,0.0221
1.9555,0.9069,0.0218
1.9556,0.9070,0.0218
1.9557,0.9071,0.0217
1.9558,0.9072,0.0218
1.9560,0.9072,0.0218
1.9564,0.9071,0.0218
1.9568,0.9070,0.0219
1.9574,0.9067,0.0219
1.9580,0.9065,0.0221
1.9584,0.9063,0.0222
1.9589,0.9061,0.0224
1.9592,0.9060,0.0224
1.9595,0.9059,0.0226
1.9597,0.9059,0.0227
1.9598,0.9058,0.0228
1.9598,0.9059,0.0227
1.9598,0.9061,0.0226
1.9596,0.9063,0.0224
1.9594,0.9066,0.0222
1.9591,0.9069,0.0221
1.9591,0.9071,0.0219
1.9589,0.9074,0.0218
1.9589,0.9076,0.0216
1.9589,0.9078,0.0216
1.9590,0.9079,0.0215
1.9593,0.9079,0.0215
1.9598,0.9077,0.0217
1.9603,0.9075,0.0218
1.9608,0.9071,0.0219
1.9612,0.9070,0.0221
1.9616,0.9068,0.0222
1.9619,0.9066,0.0224
1.9623,0.9065,0.0226
1.9625,0.9064,0.0227
1.9628,0.9064,0.0228
1.9629,0.9064,0.0229
1.9628,0.9064,0.0227
1.9629,0.9066,0.0227
1.9627,0.9068,0.0226
1.9625,0.9070,0.0225
1.9625,0.9072,0.0223
1.9623,0.9074,0.0222
1.9623,0.9076,0.0222
1.9623,0.9077,0.0220
1.9625,0.9078,0.0220
1.9626,0.9079,0.0220
1.9629,0.9079,0.0221
1.9632,0.9078,0.0221
1.9636,0.9076,0.0222
1.9639,0.9074,0.0223
1.9643,0.9073,0.0225
1.9647,0.9071,0.0226
1.9652,0.9069,0.0228
1.9656,0.9068,0.0230
1.9658,0.9067,0.0232
1.9659,0.9067,0.0232
1.9659,0.9067,0.0232
1.9658,0.9068,0.0231
1.9656,0.9070,0.0230
1.9655,0.9072,0.0229
1.9654,0.9075,0.0228
1.9652,0.9078,0.0227
1.9652,0.9079,0.0227
1.9652,0.9081,0.0225
1.9652,0.9082,0.0225
1.9654,0.9082,0.0225
1.9655,0.9083,0.0224
1.9658,0.9082,0.0226
1.9661,0.9081,0.0226
1.9666,0.9079,0.0228
1.9670,0.9077,0.0228
1.9674,0.9076,0.0230
1.9677,0.9074,0.0231
1.9681,0.9072,0.0233
1.9685,0.9071,0.0235
1.9688,0.9069,0.0236
1.9690,0.9070,0.0237
1.9690,0.9069,0.0236
1.9690,0.9071,0.0235
1.9689,0.9073,0.0234
1.9687,0.9074,0.0232
1.9685,0.9077,0.0231
1.9684,0.9079,0.0230
1.9682,0.9081,0.0229
1.9683,0.9083,0.0229
1.9683,0.9083,0.0228
1.9685,0.9085,0.0228
1.9687,0.9084,0.0228
1.9689,0.9083,0.0229
1.9694,0.9082,0.0231
1.9698,0.9080,0.0232
1.9702,0.9078,0.0233
1.9707,0.9077,0.0235
1.9711,0.9075,0.0236
1.9714,0.9073,0.0237
1.9718,0.9071,0.0239
1.9722,0.9070,0.0240
1.9723,0.9070,0.0241
1.9722,0.9070,0.0239
1.9722,0.9073,0.0239
1.9720,0.9075,0.0237
1.9718,0.9077,0.0235
1.9715,0.9080,0.0233
1.9713,0.9083,0.0232
1.9714,0.9084,0.0231
1.9713,0.9086,0.0230
1.9714,0.9087,0.0230
1.9717,0.9087,0.0230
1.9719,0.9086,0.0232
1.9723,0.9085,0.0233
1.9727,0.9083,0.0234
1.9732,0.9080,0.0235
1.9737,0.9078,0.0238
1.9740,0.9076,0.0239
1.9744,0.9075,0.0241
1.9749,0.9072,0.0242
1.9752,0.9070,0.0244
1.9755,0.9070,0.0244
1.9756,0.9069,0.0245
1.9757,0.9070,0.0245
1.9753,0.9071,0.0242
1.9751,0.9075,0.0242
1.9747,0.9078,0.0239
1.9746,0.9082,0.0238
1.9746,0.9083,0.0237
1.9746,0.9085,0.0236
1.9745,0.9086,0.0235
1.9746,0.9087,0.0235
1.9748,0.9086,0.0235
1.9752,0.9085,0.0236
1.9756,0.9083,0.0237
1.9760,0.9082,0.0239
1.9764,0.9079,0.0240
1.9768,0.9078,0.0242
1.9773,0.9076,0.0244
1.9778,0.9074,0.0246
1.9781,0.9072,0.0248
1.9784,0.9071,0.0249
1.9785,0.9071,0.0251
1.9786,0.9071,0.0251
1.9785,0.9072,0.0251
1.9783,0.9075,0.0250
1.9782,0.9077,0.0247
1.9780,0.9079,0.0246
1.9778,0.9082,0.0245
1.9777,0.9084,0.0244
1.9777,0.9086,0.0243
1.9778,0.9087,0.0242
1.9778,0.9087,0.0241
1.9780,0.9088,0.0241
1.9784,0.9086,0.0242
1.9787,0.9084,0.0243
1.9792,0.9083,0.0245
1.9796,0.9081,0.0246
1.9800,0.9079,0.0248
1.9806,0.9076,0.0250
1.9810,0.9075,0.0252
1.9813,0.9073,0.0254
1.9817,0.9072,0.0254
1.9818,0.9072,0.0255
1.9820,0.9071,0.0256
1.9819,0.9073,0.0255
1.9818,0.9073,0.0253
1.9816,0.9076,0.0252
1.9813,0.9079,0.0250
1.9811,0.9081,0.0248
1.9811,0.9084,0.0247
1.9809,0.9085,0.0245
1.9808,0.9087,0.0244
1.9809,0.9089,0.0243
1.9812,0.9088,0.0243
1.9814,0.9088,0.0242
1.9819,0.9086,0.0243
1.9825,0.9084,0.0245
1.9828,0.9082,0.0246
1.9833,0.9080,0.0248
1.9839,0.9077,0.0250
1.9843,0.9076,0.0252
1.9848,0.9073,0.0254
1.9851,0.9071,0.0256
1.9852,0.9071,0.0256
1.9855,0.9070,0.0257
1.9854,0.9071,0.0257
1.9853,0.9073,0.0256
1.9849,0.9076,0.0254
1.9846,0.9080,0.0252
1.9843,0.9083,0.0250
1.9840,0.9087,0.0248
1.9841,0.9088,0.0247
1.9841,0.9089,0.0247
1.9843,0.9089,0.0247
1.9846,0.9089,0.0248
1.9848,0.9088,0.0248
1.9852,0.9087,0.0249
1.9856,0.9085,0.0251
1.9861,0.9082,0.0253
1.9864,0.9080,0.0254
1.9868,0.9079,0.0256
1.9873,0.9076,0.0258
1.9876,0.9075,0.0259
1.9879,0.9075,0.0260
1.9881,0.9074,0.0260
1.9879,0.9076,0.0260
1.9877,0.9077,0.0259
1.9877,0.9079,0.0258
1.9875,0.9082,0.0257
1.9873,0.9084,0.0256
1.9871,0.9086,0.0253
1.9870,0.9089,0.0253
1.9870,0.9090,0.0251
1.9870,0.9091,0.0251
1.9871,0.9092,0.0250
1.9873,0.9093,0.0250
1.9876,0.9092,0.0250
1.9879,0.9091,0.0252
1.9884,0.9089,0.0254
1.9888,0.9087,0.0255
1.9893,0.9084,0.0257
1.9897,0.9083,0.0258
1.9900,0.9081,0.0260
1.9904,0.9080,0.0262
1.9906,0.9078,0.0262
1.9908,0.9078,0.0263
1.9908,0.9077,0.0262
1.9908,0.9078,0.0262
1.9906,0.9081,0.0260
1.9904,0.9083,0.0259
1.9903,0.9085,0.0257
1.9899,0.9088,0.0255
1.9899,0.9090,0.0254
1.9899,0.9091,0.0254
1.9900,0.9093,0.0254
1.9902,0.9093,0.0256
1.9905,0.9092,0.0256
1.9908,0.9091,0.0256
1.9913,0.9090,0.0259
1.9918,0.9088,0.0260
1.9922,0.9086,0.0261
1.9926,0.9084,0.0262
1.9928,0.9082,0.0262
1.9932,0.9081,0.0264
1.9936,0.9079,0.0265
1.9938,0.9080,0.0265
1.9939,0.9079,0.0265
1.9939,0.9081,0.0265
1.9938,0.9082,0.0265
1.9935,0.9085,0.0263
1.9934,0.9087,0.0261
1.9933,0.9090,0.0260
1.9931,0.9092,0.0258
1.9931,0.9093,0.0256
1.9932,0.9095,0.0255
1.9934,0.9096,0.0255
1.9935,0.9096,0.0255
1.9938,0.9095,0.0254
1.9944,0.9093,0.0256
1.9949,0.9091,0.0257
1.9953,0.9089,0.0258
1.9956,0.9087,0.0259
1.9961,0.9085,0.0260
1.9965,0.9083,0.0262
1.9967,0.9081,0.0264
1.9971,0.9080,0.0265
1.9972,0.9080,0.0265
1.9974,0.9080,0.0266
1.9972,0.9082,0.0264
1.9971,0.9083,0.0263
1.9969,0.9085,0.0262
1.9968,0.9088,0.0261
1.9967,0.9090,0.0259
1.9966,0.9092,0.0258
1.9965,0.9094,0.0258
1.9966,0.9095,0.0257
1.9969,0.9095,0.0258
1.9970,0.9094,0.0258
1.9974,0.9093,0.0259
1.9978,0.9092,0.0260
1.9982,0.9090,0.0261
1.9986,0.9088,0.0262
1.9990,0.9085,0.0264
1.9994,0.9084,0.0265
1.9998,0.9082,0.0266
2.0001,0.9082,0.0267
2.0002,0.9081,0.0266
2.0004,0.9081,0.0267
2.0003,0.9081,0.0266
2.0002,0.9083,0.0265
2.0000,0.9085,0.0264
1.9998,0.9088,0.0262
1.9997,0.9090,0.0262
1.9996,0.9092,0.0260
1.9995,0.9094,0.0259
1.9996,0.9095,0.0258
1.9997,0.9097,0.0257
1.9999,0.9096,0.0257
2.0004,0.9095,0.0258
2.0008,0.9094,0.0259
2.0012,0.9092,0.0259
2.0015,0.9090,0.0261
2.0021,0.9089,0.0262
2.0024,0.9087,0.0263
2.0028,0.9086,0.0265
2.0030,0.9084,0.0265
2.0034,0.9082,0.0267
2.0036,0.9082,0.0267
2.0035,0.9082,0.0267
2.0035,0.9084,0.0265
2.0034,0.9085,0.0265
2.0032,0.9087,0.0264
2.0029,0.9091,0.0262
2.0028,0.9093,0.0260
2.0028,0.9094,0.0260
2.0028,0.9095,0.0260
2.0029,0.9096,0.0259
2.0031,0.9096,0.0258
2.0035,0.9095,0.0259
2.0039,0.9094,0.0260
2.0043,0.9092,0.0261
2.0048,0.9090,0.0262
2.0052,0.9088,0.0263
2.0055,0.9086,0.0264
2.0059,0.9084,0.0265
2.0063,0.9083,0.0267
2.0067,0.9081,0.0268
2.0068,0.9081,0.0268
2.0069,0.9081,0.0268
2.0068,0.9082,0.0266
2.0066,0.9084,0.0265
2.0064,0.9087,0.0264
2.0064,0.9089,0.0262
2.0063,0.9091,0.0262
2.0061,0.9094,0.0260
2.0061,0.9095,0.0259
2.0061,0.9096,0.0258
2.0062,0.9098,0.0257
2.0065,0.9098,0.0257
2.0067,0.9097,0.0256
2.0072,0.9095,0.0256
2.0076,0.9094,0.0257
2.0083,0.9090,0.0259
2.0087,0.9088,0.0260
2.0091,0.9085,0.0261
2.0095,0.9084,0.0263
2.0099,0.9083,0.0263
2.0100,0.9082,0.0264
2.0102,0.9082,0.0264
2.0102,0.9082,0.0264
2.0103,0.9083,0.0263
2.0102,0.9084,0.0261
2.0101,0.9086,0.0261
2.0100,0.9088,0.0259
2.0098,0.9089,0.0258
2.0097,0.9091,0.0256
2.0096,0.9094,0.0255
2.0096,0.9096,0.0254
2.0096,0.9097,0.0254
2.0097,0.9097,0.0253
2.0099,0.9097,0.0253
2.0104,0.9096,0.0254
2.0107,0.9095,0.0253
2.0112,0.9093,0.0255
2.0117,0.9091,0.0256
2.0122,0.9089,0.0258
