Ch1,Ch2,Ch3,Ch4,label
1,6,26,2,1
1,6,0,2,1
1,6,17,2,1
1,6,18,2,1
1,6,114,2,1
1,6,85,2,1
0,6,100,2,1
1,6,81,2,1
1,6,0,2,1
0,6,0,2,1
1,6,87,1,1
1,6,97,2,1
1,6,54,2,1
1,6,0,2,1
1,6,28,2,1
1,6,0,2,1
1,6,41,2,1
1,6,95,2,1
1,6,48,2,1
0,6,24,2,1
1,6,0,2,1
1,6,20,2,1
0,6,49,2,1
1,6,0,2,1
1,7,91,2,1
1,6,92,2,1
1,6,4,2,1
0,6,79,1,1
1,6,0,2,1
1,6,0,2,1
1,6,2,2,1
1,6,14,2,1
1,6,108,2,1
0,6,202,1,1
0,6,118,1,1
1,6,260,2,1
1,6,29,2,1
0,6,124,2,1
0,6,43,2,1
0,6,63,2,1
1,6,5,2,1
1,6,24,2,1
1,6,0,2,1
0,6,18,2,1
1,6,0,2,1
1,6,43,2,1
0,6,7,2,1
0,6,47,2,1
1,6,18,2,1
1,6,0,2,1
0,6,71,2,1
1,6,43,2,1
1,7,103,2,1
0,6,109,2,1
1,6,19,2,1
1,6,70,2,1
1,6,102,2,1
1,6,85,2,1
1,6,78,2,1
1,6,0,2,1
1,6,159,2,1
1,6,140,2,1
0,6,63,2,1
1,7,201,2,1
1,7,23,2,1
1,6,109,2,1
0,6,120,2,1
1,6,73,2,1
1,7,113,2,1
1,6,39,2,1
0,6,342,2,1
1,6,246,1,1
0,6,483,1,1
2,7,295,3,1
0,6,428,1,1
0,6,392,1,1
1,6,486,2,1
1,7,208,3,1
1,6,71,2,1
1,6,203,2,1
0,6,105,1,1
0,6,160,2,1
1,7,109,2,1
0,6,356,1,1
0,6,389,1,1
1,6,342,2,1
1,7,497,2,1
1,6,76,2,1
1,6,258,2,1
0,6,209,2,1
1,6,53,2,1
1,6,208,2,1
1,6,109,2,1
0,6,217,2,1
0,5,169,1,1
1,6,245,2,1
1,7,35,3,1
1,6,196,2,1
1,6,143,2,1
0,5,50,2,1
1,7,217,2,1
1,6,222,2,1
1,6,13,2,1
1,6,252,2,1
1,6,97,2,1
1,6,267,2,1
0,6,94,2,1
1,6,407,2,1
1,7,194,2,1
0,6,243,1,1
0,6,11,1,1
1,6,141,2,1
1,6,88,2,1
1,6,291,2,1
1,6,73,2,1
1,6,253,2,1
1,7,27,2,1
0,6,49,2,1
0,6,148,1,1
1,6,255,2,1
1,6,143,2,1
1,6,252,2,1
1,6,46,2,1
1,6,322,2,1
0,6,27,2,1
0,6,365,2,1
2,7,2,3,1
1,6,411,2,1
1,6,93,2,1
0,6,393,2,1
1,7,65,2,1
0,6,385,1,1
1,6,0,2,1
1,7,223,2,1
1,6,388,2,1
1,6,0,2,1
0,5,373,1,1
1,7,4,2,1
1,6,347,2,1
1,6,20,2,1
0,6,430,1,1
1,6,437,1,1
2,7,37,3,1
0,6,444,1,1
0,6,73,2,1
1,6,415,2,1
1,7,150,2,1
0,6,573,1,1
0,6,344,2,1
1,6,623,1,1
1,7,161,3,1
4,9,1023,5,1
0,6,549,1,1
0,5,954,1,1
3,8,10,4,1
1,6,252,2,1
1,7,58,2,1
0,6,102,2,1
0,6,195,2,1
1,6,21,2,1
0,5,499,1,1
2,7,60,3,1
0,6,431,1,1
0,6,127,2,1
1,7,442,2,1
1,6,170,2,1
0,6,506,1,1
1,6,192,2,1
1,7,95,2,1
1,6,415,1,1
1,6,286,2,1
1,7,344,2,1
0,6,161,2,1
1,6,439,2,1
1,6,505,1,1
1,6,236,2,1
0,5,678,1,1
2,7,58,3,1
0,6,540,1,1
1,6,309,2,1
1,6,280,2,1
1,6,50,2,1
1,6,133,2,1
1,7,148,2,1
0,6,39,2,1
0,6,143,2,1
0,6,238,1,1
1,6,399,1,1
0,6,624,1,1
0,5,1023,0,1
1,6,616,2,1
1,6,286,2,1
0,5,591,1,1
1,6,250,2,1
2,7,286,3,1
1,6,118,2,1
0,5,802,1,1
1,7,128,2,1
1,6,583,2,1
1,7,154,2,1
0,5,940,1,1
1,7,284,2,1
0,6,1023,1,1
3,8,277,4,1
1,7,573,3,1
1,7,477,2,1
1,6,792,1,1
1,6,818,2,1
1,6,41,2,1
0,5,626,1,1
1,6,29,2,1
1,6,591,1,1
1,6,358,2,1
0,6,799,1,1
1,6,70,2,1
0,6,948,1,1
0,6,721,1,1
1,6,284,2,1
1,6,603,2,1
0,6,537,2,1
2,7,328,3,1
0,5,1023,0,1
0,6,679,1,1
1,6,829,2,1
1,7,430,2,1
0,5,982,1,1
2,7,263,3,1
1,6,997,1,1
1,6,691,2,1
2,7,46,3,1
1,6,434,2,1
0,5,642,1,1
1,6,472,1,1
0,4,1023,0,1
1,6,173,2,1
6,11,1023,7,1
0,5,136,1,1
0,3,1023,0,1
0,5,189,1,1
8,12,1023,8,1
0,5,252,1,1
5,11,1023,6,1
0,5,22,1,1
7,12,1023,7,1
0,5,74,0,1
0,5,954,0,1
4,9,1023,5,1
0,3,1023,0,1
0,5,244,0,1
0,5,780,0,1
0,6,343,1,1
1,6,267,2,1
1,7,96,3,1
11,16,1023,12,1
0,5,908,0,1
6,11,1023,6,1
1,7,313,2,1
5,10,1023,5,1
0,5,279,0,1
3,8,379,5,1
0,5,989,0,1
0,6,1023,2,1
0,5,600,0,1
1,7,1023,2,1
1,7,131,3,1
0,3,1023,0,1
0,5,141,0,1
1,6,1023,2,1
2,7,59,3,1
0,5,1023,1,1
0,5,814,1,1
3,9,1023,5,1
0,5,122,1,1
5,10,1023,6,1
0,5,1023,0,1
4,9,719,4,1
0,4,669,0,1
2,7,906,2,1
0,5,536,1,1
1,6,357,2,1
3,8,950,4,1
1,6,159,2,1
0,6,164,2,1
0,6,541,1,1
2,7,82,2,1
0,6,474,1,1
1,6,317,2,1
1,7,190,3,1
1,6,268,2,1
0,5,830,1,1
1,6,799,1,1
1,7,500,2,1
1,6,373,2,1
1,7,62,2,1
1,7,157,3,1
0,6,282,1,1
1,6,178,2,1
0,6,651,1,1
0,6,534,1,1
0,6,241,2,1
1,6,419,2,1
1,6,303,2,1
0,6,461,1,1
1,6,17,2,1
2,7,89,3,1
1,6,87,2,1
1,6,135,2,1
1,6,80,2,1
0,6,235,2,1
1,7,10,2,1
1,7,63,2,1
1,6,269,1,1
0,5,164,1,1
0,6,34,2,1
1,6,73,2,1
1,6,131,2,1
1,6,121,2,1
1,7,76,2,1
1,6,235,2,1
0,6,119,2,1
1,7,157,2,1
1,6,266,2,1
0,6,186,2,1
1,7,238,2,1
1,6,75,2,1
0,6,9,2,1
1,6,64,2,1
1,7,73,2,1
1,6,34,2,1
0,6,346,1,1
1,6,145,2,1
1,6,279,2,1
0,6,44,2,1
1,6,374,2,1
1,7,129,2,1
1,6,40,2,1
1,6,102,2,1
1,7,228,2,1
1,6,183,2,1
1,6,55,2,1
1,6,147,2,1
1,6,70,2,1
0,6,59,2,1
1,6,26,2,1
1,6,265,2,1
1,6,15,2,1
1,6,8,2,1
1,6,63,2,1
1,6,78,2,1
1,6,220,2,1
1,6,47,2,1
1,6,329,1,1
0,6,32,2,1
1,7,165,2,1
0,6,449,1,1
1,6,29,2,1
1,6,284,2,1
1,6,114,2,1
0,6,229,1,1
1,6,125,2,1
1,7,17,2,1
1,6,87,2,1
1,6,10,2,1
1,6,106,2,1
1,6,41,2,1
0,6,335,1,1
1,7,29,2,1
1,6,199,2,1
1,6,99,2,1
0,6,15,2,1
1,6,176,2,1
1,6,164,2,1
0,6,387,2,1
1,7,39,2,1
1,7,274,2,1
1,6,34,2,1
0,6,32,2,1
1,6,72,2,1
0,6,0,2,1
0,6,124,2,1
1,6,32,2,1
1,6,117,2,1
0,6,52,2,1
1,6,118,2,1
1,7,14,2,1
0,6,23,2,1
0,6,279,1,1
1,6,136,2,1
1,6,107,2,1
0,6,161,1,1
1,6,16,2,1
1,7,369,2,1
1,6,326,1,1
1,6,217,2,1
1,6,12,2,1
1,6,27,2,1
1,6,0,2,1
1,6,123,2,1
1,6,54,2,1
0,6,273,1,1
1,7,10,3,1
0,6,26,1,1
1,6,0,2,1
0,6,41,2,1
1,7,123,2,1
0,6,18,2,1
1,6,57,2,1
1,6,25,2,1
1,6,0,2,1
0,6,0,2,1
1,7,202,2,1
1,7,131,2,1
0,6,315,1,1
1,6,211,2,1
0,6,66,2,1
1,6,56,2,1
0,6,254,2,1
1,6,126,2,1
0,6,0,2,1
1,6,119,2,1
1,6,0,2,1
0,6,0,2,1
0,6,126,2,1
0,6,0,2,1
1,6,412,2,1
1,6,70,2,1
1,6,385,2,1
0,6,78,1,1
1,6,423,1,1
1,7,127,3,1
1,6,15,2,1
1,6,103,2,1
1,7,109,2,1
1,6,148,1,1
1,6,42,2,1
0,6,0,2,1
1,6,192,2,1
0,6,199,2,1
1,6,219,2,1
1,6,69,2,1
1,6,99,2,1
0,6,30,2,1
0,6,86,2,1
2,7,116,2,1
1,6,177,2,1
1,6,35,2,1
1,7,2,2,1
0,6,199,2,1
1,6,168,2,1
1,6,107,2,1
0,6,34,2,1
0,6,15,2,1
1,6,26,2,1
1,6,156,2,1
0,6,228,1,1
1,6,148,2,1
1,6,127,2,1
0,5,159,1,1
1,7,187,2,1
1,6,104,2,1
1,6,85,2,1
0,6,377,2,1
1,6,83,2,1
1,6,152,2,1
1,6,11,2,1
0,6,76,2,1
1,6,72,2,1
1,6,89,2,1
0,6,89,2,1
1,6,71,2,1
1,6,47,2,1
0,5,225,1,1
2,7,223,3,1
2,7,275,2,1
1,6,300,2,1
1,6,97,2,1
0,6,24,2,1
0,6,197,2,1
1,6,262,2,1
0,6,199,2,1
0,5,13,1,1
2,7,45,3,1
0,6,299,2,1
1,6,84,2,1
0,5,17,1,1
0,5,70,1,1
1,6,91,2,1
0,6,153,2,1
1,6,182,2,1
1,6,118,2,1
0,6,0,1,1
1,6,116,2,1
0,6,20,2,1
3,8,255,5,1
1,6,8,2,1
0,5,475,0,1
0,5,879,1,1
2,7,11,3,1
1,7,0,2,1
1,7,15,3,1
0,5,58,1,1
0,5,0,2,1
1,6,51,2,1
1,7,30,3,1
0,6,121,2,1
1,6,0,2,1
1,6,11,2,1
1,6,8,3,1
1,7,154,2,1
1,6,88,2,1
0,6,52,2,1
1,6,55,2,1
0,6,115,2,1
1,6,30,2,1
1,6,96,2,1
1,6,1,2,1
0,6,121,2,1
1,6,0,2,1
1,6,70,2,1
1,7,148,2,1
1,6,51,2,1
1,6,203,2,1
1,6,35,2,1
1,6,196,2,1
1,6,87,2,1
1,6,28,2,1
1,6,103,2,1
