Ch1,Ch2,Ch3,Ch4,label
1,6,27,1,1
1,6,45,3,1
0,6,41,37,1
1,6,16,8,1
1,6,196,174,1
1,6,61,14,1
1,6,33,15,1
1,6,29,22,1
1,6,186,105,1
1,6,66,51,1
1,6,2,0,1
0,6,114,0,1
1,6,72,0,1
0,6,22,103,1
0,6,82,118,1
1,6,111,39,1
1,6,78,81,1
1,6,172,143,1
1,6,125,56,1
1,6,22,0,1
1,6,124,0,1
1,6,201,308,1
0,6,138,1,1
1,6,163,140,1
0,6,47,77,1
1,6,124,31,1
0,6,60,115,1
1,6,1,37,1
1,6,23,38,1
1,6,85,44,1
1,6,123,104,1
1,6,109,37,1
1,6,26,85,1
1,6,79,12,1
0,6,72,0,1
1,6,2,0,1
0,6,108,83,1
0,6,59,33,1
1,7,94,9,1
1,6,71,128,1
0,6,88,69,1
1,6,75,115,1
1,6,204,75,1
0,6,39,24,1
1,6,75,86,1
0,6,158,27,1
0,6,119,156,1
1,6,18,5,1
0,6,123,164,1
1,6,26,0,1
1,6,65,0,1
1,6,123,54,1
1,6,227,114,1
1,6,179,157,1
1,6,1,76,1
0,6,130,126,1
0,6,79,28,1
1,6,85,15,1
1,6,118,12,1
1,6,47,0,1
1,6,47,45,1
1,6,28,14,1
1,7,97,50,1
1,6,67,0,1
1,6,270,75,1
0,6,168,316,1
1,6,7,0,1
1,6,314,310,1
0,6,167,133,1
1,6,38,0,1
1,6,137,148,1
0,6,101,107,1
1,6,138,3,1
0,6,12,289,1
0,6,83,121,1
0,6,114,164,1
0,6,51,67,1
0,6,3,116,1
0,6,30,215,1
0,6,125,80,1
1,6,32,23,1
0,6,108,26,1
1,6,34,30,1
1,6,116,23,1
1,6,72,140,1
1,6,139,102,1
0,6,80,39,1
0,6,62,45,1
0,6,288,226,1
1,6,36,62,1
1,6,180,139,1
0,6,355,341,1
0,6,86,40,1
1,6,356,248,1
0,6,148,146,1
1,6,184,23,1
0,6,204,139,1
0,6,48,39,1
1,6,198,43,1
1,7,451,428,1
1,6,123,48,1
1,6,553,342,1
0,6,123,231,1
1,6,73,22,1
1,6,42,7,1
1,6,246,254,1
1,6,335,86,1
0,6,82,0,1
1,6,168,42,1
1,6,219,101,1
1,6,22,124,1
0,6,203,93,1
1,7,459,606,1
0,6,203,162,1
0,6,26,0,1
1,6,252,469,1
1,6,201,147,1
1,6,230,102,1
0,6,95,98,1
0,6,173,295,1
1,6,347,248,1
0,6,6,0,1
0,7,249,323,1
1,6,189,6,1
1,6,478,105,1
0,6,327,479,1
0,6,446,322,1
0,6,207,130,1
1,6,518,451,1
0,6,140,164,1
1,6,114,13,1
1,6,263,89,1
1,6,76,25,1
1,6,349,289,1
0,6,438,106,1
0,6,370,194,1
