Ch1,Ch2,Ch3,Ch4,label
1,6,25,0,1
0,6,7,0,1
0,7,65,0,1
0,6,81,0,1
1,6,81,0,1
1,6,3,0,1
1,6,66,0,1
1,6,3,0,1
1,6,52,0,1
1,6,75,0,1
0,6,3,0,1
0,6,167,0,1
1,6,30,0,1
1,6,85,0,1
1,6,1,0,1
1,6,27,0,1
0,6,72,0,1
1,6,69,0,1
1,6,49,0,1
1,6,8,0,1
1,6,13,0,1
0,6,20,0,1
0,6,62,0,1
0,6,95,0,1
1,6,63,0,1
1,6,68,0,1
0,6,29,0,1
1,7,5,0,1
1,6,85,0,1
1,6,23,0,1
1,6,152,0,1
1,6,70,0,1
1,6,115,0,1
0,6,46,0,1
1,6,112,0,1
0,6,41,0,1
1,6,45,0,1
0,6,157,0,1
1,6,143,0,1
1,6,88,0,1
0,6,57,0,1
0,6,21,0,1
0,6,32,0,1
1,6,75,0,1
1,6,22,0,1
1,6,74,0,1
1,6,139,0,1
1,6,104,0,1
1,6,169,0,1
1,6,208,0,1
1,6,86,0,1
1,6,162,0,1
0,6,70,0,1
0,6,77,0,1
1,6,62,0,1
1,7,80,0,1
1,6,134,0,1
0,6,35,0,1
1,6,163,0,1
0,6,76,0,1
1,6,297,0,1
1,6,46,0,1
1,6,351,0,1
1,6,147,0,1
1,6,275,0,1
1,6,112,0,1
0,6,140,0,1
0,6,11,0,1
1,6,173,0,1
1,6,153,0,1
0,6,167,0,1
1,6,184,0,1
0,6,101,0,1
1,6,2,0,1
1,6,119,0,1
1,6,157,0,1
1,6,3,0,1
1,6,292,0,1
1,6,47,0,1
1,6,469,0,1
1,6,224,0,1
1,6,635,0,1
1,6,75,0,1
0,6,204,0,1
1,7,89,0,1
1,6,102,0,1
0,6,226,0,1
1,6,147,0,1
0,6,103,0,1
1,6,65,0,1
1,6,44,0,1
1,6,31,0,1
1,6,45,0,1
1,6,123,0,1
1,6,57,0,1
1,6,89,0,1
0,6,58,0,1
0,6,158,0,1
1,6,157,0,1
1,6,325,0,1
0,6,162,0,1
0,7,261,0,1
1,6,229,0,1
1,6,79,0,1
1,6,331,0,1
0,6,201,0,1
1,7,336,0,1
1,6,384,0,1
1,6,59,0,1
0,6,378,0,1
1,6,216,0,1
0,6,67,0,1
1,6,284,0,1
1,6,160,0,1
0,7,115,0,1
1,6,107,0,1
1,6,96,0,1
1,7,141,0,1
0,6,40,0,1
1,6,110,0,1
0,6,100,0,1
1,6,336,0,1
1,6,226,0,1
1,6,236,0,1
