Ch1,Ch2,Ch3,Ch4,label
56,6,0,2,1
103,6,90,2,1
42,6,65,2,1
12,6,124,2,1
0,6,85,2,1
30,6,240,2,1
7,6,138,2,1
64,6,108,2,1
123,6,45,2,1
40,6,94,2,1
10,6,8,2,1
75,6,17,2,1
77,6,73,2,1
74,6,87,2,1
22,6,118,2,1
140,6,70,2,1
34,6,45,2,1
66,6,117,2,1
126,6,35,2,1
113,6,1,2,1
61,6,25,2,1
27,6,0,2,1
18,6,14,2,1
4,6,59,2,1
36,6,99,2,1
9,6,222,2,1
44,6,33,2,1
110,6,28,2,1
70,6,42,2,1
105,6,0,2,1
84,6,129,2,1
78,6,72,2,1
150,6,135,2,1
191,6,17,2,1
14,6,36,2,1
148,6,238,1,1
16,6,0,2,1
131,6,42,2,1
4,6,25,2,1
2,6,105,2,1
49,6,85,2,1
43,6,67,2,1
50,6,143,2,1
230,6,28,2,1
176,6,18,2,1
113,6,4,2,1
17,6,6,2,1
26,6,130,2,1
127,6,155,2,1
69,6,93,2,1
129,6,90,2,1
84,6,101,2,1
54,6,22,2,1
123,6,48,2,1
137,6,166,2,1
278,6,161,2,1
122,6,29,2,1
85,6,63,2,1
203,6,43,2,1
16,6,117,2,1
283,6,149,2,1
10,6,156,2,1
129,6,0,2,1
5,6,15,2,1
129,6,153,2,1
74,6,141,2,1
104,6,10,2,1
363,6,146,2,1
281,6,100,2,1
134,6,126,2,1
700,7,184,2,1
60,6,245,2,1
207,6,304,2,1
193,6,24,2,1
40,6,3,2,1
238,6,128,2,1
139,6,78,2,1
87,7,479,2,1
271,6,356,2,1
128,6,566,1,1
656,6,439,2,1
26,6,184,2,1
334,6,0,2,1
424,6,113,2,1
47,6,189,2,1
319,7,429,2,1
63,7,878,2,1
482,5,47,2,1
317,7,796,2,1
576,5,222,2,1
62,6,425,1,1
305,6,463,2,1
416,6,332,2,1
127,6,240,2,1
282,6,605,2,1
201,6,105,2,1
231,6,184,2,1
27,6,74,2,1
21,6,316,2,1
219,6,205,2,1
426,6,234,2,1
136,6,216,2,1
369,6,357,2,1
498,6,331,2,1
457,6,493,2,1
447,6,0,2,1
384,6,33,2,1
131,6,49,2,1
343,6,0,2,1
31,6,46,2,1
235,6,270,2,1
13,7,612,2,1
37,6,142,2,1
309,6,330,2,1
448,7,449,2,1
453,6,521,2,1
265,6,78,2,1
178,6,389,2,1
11,6,556,2,1
431,6,22,2,1
93,6,135,2,1
227,6,143,2,1
248,6,432,2,1
2,6,479,2,1
131,6,106,2,1
27,6,89,2,1
132,7,447,2,1
50,6,218,2,1
37,7,696,2,1
297,7,622,1,1
416,5,124,2,1
236,6,49,2,1
235,7,585,1,1
165,6,5,2,1
324,7,357,2,1
86,6,23,2,1
348,7,541,1,1
617,6,0,2,1
45,6,357,2,1
20,6,136,2,1
138,6,139,2,1
415,6,371,2,1
272,6,211,2,1
119,7,723,2,1
251,6,319,1,1
141,816,1023,0,1
144,816,474,2,1
327,308,692,2,1
50,184,479,2,1
451,30,776,1,1
51,5,160,2,1
96,5,143,2,1
306,6,80,2,1
6,6,343,2,1
182,7,924,1,1
280,7,807,2,1
143,6,376,2,1
463,6,107,2,1
365,6,15,2,1
547,6,30,2,1
218,6,127,2,1
13,6,218,2,1
340,6,142,2,1
197,6,52,2,1
244,6,141,2,1
157,7,435,2,1
222,6,47,2,1
240,6,348,2,1
12,6,60,2,1
273,7,204,2,1
662,7,472,2,1
1017,7,296,2,1
33,6,343,2,1
121,6,46,2,1
275,7,860,1,1
63,6,720,2,1
21,17,234,2,1
59,5,389,2,1
183,5,209,2,1
184,7,729,2,1
129,1023,1023,0,1
10,1023,259,2,1
252,321,166,2,1
253,59,58,2,1
63,7,381,2,1
224,5,25,2,1
222,1023,23,0,1
71,472,22,2,1
760,97,3,2,1
143,14,232,2,1
102,5,636,2,1
211,1023,1023,0,1
1023,1023,804,2,1
474,442,291,2,1
75,95,82,2,1
166,14,392,2,1
450,5,702,2,1
250,5,630,2,1
141,5,12,2,1
232,6,143,2,1
